,address,amount,percentOfTotal
217,3gb1RZucekcRdda82TSNS4FZSREhGLoi1FxGDmMZdVeLtYYixPRviEdYireoM9RqC6Jf4kx85Y1jmUg5XzGgqdjpkhHm7kJZdgUR3VBwuLZuyHVqdSNv3eanqpknYsXtUwvUA16HFwNa3HgVRAnGC8zj8U7kksrfjycAM1yb19BB4TYR2BKWN7mpvoeoTuAKcAFH26cM46CEYsDRDn832wVNTLAmzz4Q6FqE29H9euwYzKiebgxQbWUxtupvfSbKaHpQcZAo5Dhyc6PFPyGVFZVRGZZ4Kftgi1NMRnGwKG7NTtXsFMsJP6A7yvLy8UZaMPe69BUAkpbSJdcWem3WpPUE7UpXv4itDkS5KVVaFtVyfx8PQxzi2eotP2uXtfairHuKinbpSFTSFKW3GxmXaw7vQs1JuVd8NhNShX6hxSqCP6sxojrqBxA48T2KcxNrmE3uFk7Pt4vPPdMAS4PW6UU82UD9rfhe3SMytK6DkjCocuRwuNqFoy4k25TXbGauTNgKuPKY3CxgkTpw9WfWsmtei178tLefhUEGJueueXSZo7negPYtmcYpoMhCuv4G1JZc283Q7f3mNXS,30717.741450999998,0.0030717741451
218,9geBz1eNTd3ZAKsLno3cSayXmvmySktu5eXjNAzGNCLtMESbi9q,30416.0,0.0030416
219,9gZ4KPUTTSXAXSHBNmGLFEvEaWLRArUctWNc9wJy679wziauiRs,30090.0,0.003009
220,9iBvRr8iMphMqNn1VhXy5N5UuKYFyZwh4X9ZmzCj21FZN8N8oWM,30090.0,0.003009
221,9i6ZYc51r1xLsvYr9RvLCkXGJekaPXwSMPZ2UsQPYY97g9j1Bi1,30000.0,0.003
222,9fk3fhZasdM6SenLegYxpQTmS64aVXnxyTutXUrmM1NfYADnpqx,30000.0,0.003
223,9gwsvEGm2NhNsdVWvgaaPPrrkfSmm11SyyPu2UodpHvUoEYnsqL,29936.0,0.0029936
224,9gmG19jySJUir9BRsYdfAajBdHuS8Dxtmito4ERAFpbobedJXd9,29869.0,0.0029869
225,9fGPzdG3jhE1Cit9T7Af2NdB4ndQYP4SNFymV5pK8HtaNemhncn,29670.413162999997,0.0029670413163
226,9ek5t1B7Akr9WYtGbG6SxFZZndMBbmeijADQmbELiYgw4GJdcFR,29403.0,0.0029403
227,9g1ELSo8iNvmvhi4Gv3KQ3GwtLQLMHMWpafsf7ceoADERPK9F53,29326.779731,0.0029326779731
228,9fgFQB2WycTWxfazPByKmR2dxqHBp222JVNo2drNHshaowydtRd,29290.0,0.002929
229,9iNG3aCprK3R1jiJhVEmD9F6qFFRZyDfzxAPoEK1TXYysKjduk8,29290.0,0.002929
230,9gQb35CtQd4KDyymEkbXPwj3qEAdRPNywnABvqzRwQS9dE6nM56,29136.0,0.0029136
231,9grVYKFSELjq4KkhbHRDRa1am3ba5rfA2DrthR1YwBGZNpKXcDj,29090.0,0.002909
232,9hyszrzsLPcsMftxeFV43XV9UxWb7iPyrM8C7s5MWX2cbQheVqz,29033.0,0.0029033
233,9g6qxaCBrEjSLD7PBbcUKhkP2VjChpakKGtJ9ckZFYNf9Qe1JoG,28936.0,0.0028936
234,9hitB7M9w1RgscDNQWC3SwVZzr2DhFQNNykRGAfEUQQNCtMZVwZ,28609.66003,0.002860966003
235,9gfRZQgqELMYcY6BYuY8akMAq4zif6dt1JmxZTac3EiFEUiv6mS,28574.0,0.0028574
236,9gMQ2cd9qmVCyBL11jyLYv8UtGYXjMs5YsougZnsRuku2dxyNUq,28366.0,0.0028366
237,9huqidS3ejjzdG3gtN3iQNApRzceGzrjDQ7srgkpwkPoW8U1WPG,28266.0,0.0028266
238,9fLmmf34FasBtmNSe4kLra4bkgFBXxTDHjLMymX8C1T4HnnvNSc,28090.0,0.002809
239,9gkUSPupyZbKa24Da2J9keNRCHDYddn56SFnXRZdNSQ5oMEsEym,28090.0,0.002809
240,9gsoVcjrMPiuF7wvoiNUQNyQrCMbZUrk9BJeSGHSaiLBMvni9zB,28090.0,0.002809
241,9fiswbkoTFab6HdC6iwmDooCThyJUkPbDdVSs3ikxUT3k7aoxHS,28090.0,0.002809
242,9ga332qAUvxGaLesnFbCYsbwToQDyW6t1PBmydyV64ZdGNjHDdm,28090.0,0.002809
243,9fr5Ye8h8gKyJwkC4hcT9Lncu6S8ZmveojzCTMfwBj9mMBNELW3,28090.0,0.002809
244,9hDofFtXM3Y9PwtxDcDdRmTrurinKXDw1r6BC7cbLwhnY79AUXd,28033.0,0.0028033
245,9gCbAt4LM2DrsQkc6c4JxFpL6mYH38cACv7NXFDr2aM31wcSzVo,27466.0,0.0027466
246,9gRWdDKmJRnuRPaU12mfoLvz674Hghj4mUtvWZuYGxLNg3LNBmj,27336.0,0.0027336
247,9exd4M1uimaWEEag1Cv2mYS76d42hhy3TqULgTvUHxhALjTZyLS,27328.296287999998,0.0027328296288
248,9iJWSpipuedCHZsZBYbUUEy4zTcxUZJDd14xSydFsXyCzjQVFcV,27266.0,0.0027266
249,9fihnY4hY2MSE3adEs1AUZkbqaiwV8yTFuSRq9FZDdALnSBAK2n,27266.0,0.0027266
250,9gRn1bRyNhFcz62oZwafJNyg43gt3uuYhsndZ8ANaG2hKj6Puzh,27204.984508999998,0.0027204984509
251,9iNW9Z5HFj3qo35twwDbAWMutsedwfbsxHNq1ufSXgm5xGrfUKX,27203.0,0.0027203
252,9fVBrjCHyj1upmyhCehq8Cj42Taw9DpS45cFM15GvMpEpNax9XG,27090.0,0.002709
253,9eYD76w1zCQCMPbqtFpd8NuHpZAV9VuzDtpzMn4v2HEZEv2pZqP,26876.971911,0.0026876971911
254,9ez4QZZnrhRnXcFa4xupxtSU1cnkq7FaGPbRx2ygxe6ZGg5wBLR,26824.331920999997,0.0026824331921
255,9iACEptddKHgDApXWbnH45kvfF452KLt68nC3n1g7z8G4jetTVQ,26766.0,0.0026766
256,9ej9KHu6SUPxyuvnUCCKoK9L8FDBPfUf5uTHYVVf8vnnZnXGyjD,26766.0,0.0026766
257,9hFaGFLQMcCtJ1WnWqG2f9uS5U2j1khJiefMf6VQP6xCoiF9f9v,26577.702870999998,0.0026577702871
258,9hNdoB4bKSCV9hgwTG5NAhFWQKSA99kL7fwEArQRocxndkBZFeA,26462.320121999997,0.0026462320122
259,9ezhQsXNUc6cFzo2SWCyANvycZSCJtj1MvFn1biHX56LvQjvaPU,26433.0,0.0026433
260,9et4RxMEbgKBSF19Mtaoh4yktrV6wUioGo9H4gjGJ6bwwCwMgvi,26334.272150999997,0.0026334272151
261,9hnYXAJDLps5ZJ532mT6G97hk74fMCbTN4TvXybCR7wT9dGzbQf,26266.0,0.0026266
262,9fbDJq1QDLwb5dyuez6WWXFneNdQwf5sJxxXdcjmR1d4bvhM1nr,26266.0,0.0026266
