,address,amount,percentOfTotal
104,9ecxQNdmRgjNM3SFsBeDa9R4SuTVH5ra6pYzUCchca5k2SeVDBg,500000,0.05
105,9fA5Qoo7rZ7EV48sS9WeGgkHYstcRxdWBZvbZ9ywtGadPXM3gGZ,500000,0.05
106,9ewA9T53dy5qvAkcR5jVCtbaDW2XgWzbLPs5H4uCJJavmA4fzDx,499250,0.049925
107,9hbFjg4mbww8a89mkyzwbRLksJnWaupqhzBMmLCcj4ZcLVgV1mh,434737,0.0434737
108,9hnhfmR1KHHfdGPsaMJigtnthnhco8wyr2bnozgqkqnFVe1rcYU,420690,0.042069
109,9ednbnemqF3axuu6pfzjToG6BCGAhL52sFa69WTACMgJMZUoWKx,420690,0.042069
110,9fzLSXDt1ntaBKBvD6rqhFDDRKiCkc8Kfs5fZzGRfCcHXhLZRyW,390000,0.039
111,9gSZJqHXQccNSZpd1tQHuUvAGFooFqiNszLtr2XNGkkYTWCf4ao,370943,0.0370943
112,9gtbnv1TAzGmwspXbbJ4GQPe2Ap5dKkN7WojXCyf7BxwzMTjDCM,370215,0.0370215
113,9fEXJo4xRRuKnFDTZBQfPCbLCfmL8m3FvSRRdUA4w3DkVJFudWn,362544,0.0362544
114,9fiwUpZM5ZVZoj2Xqk54EhNM68N2HUkxvFby8ww17b2fjZ3yLwj,361985,0.0361985
115,9fqCwNGebQiXbvc8Fa9Q7rTaqgivAQYfa7QigyqRetL6neRUc1y,361468,0.0361468
116,9en2JxyCnQgjgRCaFMXBX87z1VcGjVvd3yug2GVmJXRHw59Evgz,310000,0.031
117,9erJd9zioBduyq29qvS2DYY4or8GQZzRaDYaeto8CzVtdn1Mju1,301000,0.0301
118,9gqR4EcXcqDSek8c3mCkGkMs6vd21sva3ip9F4A9AheUpZ6TGhi,300000,0.03
119,9fVUUbEchkAA3TchB12jKQBkTbtGQiPUbY8YzfweQVspDgvfXka,293867,0.0293867
120,9g1T2QWDhBfT1RBmzW1KKzHxB3SgBx8zXtU42URjfM5T6phKrzc,285801,0.0285801
121,9f7HZSBktZ2qSJdeoTqJzjFM7ka5k44i333RDwKbEcF6z18vMSv,282965,0.0282965
122,9fBtyC5oNvdY51gCrfTJh5NMQUdjxxsf83rorTZcKWwoYTyHnww,271617,0.0271617
123,9gdyUuJkyQ8Nh9CqJr3TE9BzuUVCQxtxEpDDuQQmTE7WDaRHfjx,250277,0.0250277
124,9hVZpupcp4yw25HfWzMsERhiKp5KXWcr4EUBJffYoQQbJPB81DA,246558,0.0246558
125,9fJjwGiL1EN92U9DaGQ8QJ9dzwirBz61EGPSmCHHmrKEAMS31Q9,243733,0.0243733
126,9iDRAphtzstk5pK5Va73cEJQ2HBaA4v5rNfWwTU6j8ZxVa1FKBa,243000,0.0243
127,9i2DrtW1CR1BuPmLHttURBQuugCNct5pVXueuHRQsm15ZGuwUuG,233000,0.0233
128,9i9tVhBRitK8945CPoYDMTce7TAq95AgD1DcjrMV2T2AfkYXJqX,230450,0.023045
129,9iEK6h3ywJacZaRnmijfj81E87oAcEh8daork2xG1WcoNVvuVqW,212159,0.0212159
130,9go7mjFPcP4X37CD5tZwLA1fSuXzCoMD69X6ieLejiLdjh2EjGn,204000,0.0204
131,9hmDesNQVf3H1VA9gss2pqVg55i1BeYS4BJRByvGCxP4WGfQ4nf,202000,0.0202
132,9gwjyPyHTKSvmtwxwKAzdywSF9HqvwJmrX9cijeftV56d176Tpt,200000,0.02
133,9fqfpBXfowJ3sPVwiEEAa9Yed6CKgRvjupb8wUWtSdNbWGk8SRV,200000,0.02
134,9ebJ2YoyemByHystDnCkRoqmRmUQN2m7vLmFrvM9pifk2HUDkj5,200000,0.02
135,9h8Qx1DLAhpG98BQuxuY6f4WsQV8SVxoyDh9zYEtR8uq5eZtRQN,200000,0.02
136,9fx1PwqiVHxdqgonZUXJufxjPvhwzn9sQ7qJvgJ8FcSVWhwSwEn,199000,0.0199
137,8JBbtKAXNjFAXNyunYmBN1PiayEKCqyPq7ycXmtpainu2hJh73T5gvZJBgnj8LZPpXjUKGdUuFNLsqKc1M5NKsBAxS4hBjphUkcPuyUUr9f1AwtzAqc7sZJVAQ86Znsia88U664bDrFMkZPNkzP6zR11GyoVefU1PBbBvnP5eioFEbEj3ZhFQx59D1Ugrv3m9cHVMRiDLkxJcRjsSkqFLyD3waDDDh5NXTw2D5iSJ8eXN8V9s2ASzZX29yJZbgSxiFYgaD8JD4ZCsXTgXHoXJEL8JavyYW1NvyiTbFSSEvPgRifoSYe5xcf7YWVw33LRRLg2DtNnRNmqKg1pNMhLnxeNBGq5XyuD5i5kqpCLhDzUnFmD3tbudGBEsyUXnbct2qfE5Dv6CY5fDKxs1HsLjNN1YKbveLBniCrt2KXKfBzLKxRq5YF8f43WjADdyc8ULwJJdu6AiJSvNiNDP9WhweDJupBt3B9bbJUprnA3ef1Tx6bPLGvCBow2Dt9RWNPUiqeGkJnEhPWSHfLtv1WnhaAXKx8xL7fy3DqPTrc2hQBZHmgU43zJKGB2uEiJQ,180902,0.0180902
138,9gwSzdHysbFB8C5kQEKMLJWtWtZdMZPuNJyAjfDSQe8Uz39mTBc,174546,0.0174546
139,9i5QFjQj9gEvz6rcAwzGnTTbsfBsz2r5tDPK1vrTATeB4oo8ULw,174000,0.0174
140,9iNt6wfxSc3DSaBVp22E7g993dwKUCvbGdHoEjxF8SRqj35oXvT,155000,0.0155
141,9hFmZvLKMj2NjroVNrk3AoADQvQ9p9C5Nny1r2519D3VVSaL4XH,152000,0.0152
142,9gwQ1vhwWnaP9WMA6uAEobDBJQTuQaJZvWpHQYp6NrLs61ZdD7g,152000,0.0152
143,9gDjWB13DHaydoBogjRjVUpnAD7oJQQ4JgDTWtNaiFHuQe4AiTi,140812,0.0140812
144,9fW2FXgR6kGzxDvrRDHegv4HWeydTY4dvsiWtUJiwwgzrUYq3D4,119583,0.0119583
145,9hRuoYgA6uEZG46WvWSwTcKVK3iXozFk2SM65tS9iM883rGoXCQ,111126,0.0111126
146,9hGuMyUrcEVb7JU78LwWndUnrj5pk8ZAou3tQLWLb8W7SwScC9i,100000,0.01
147,8JBbtKAXNjEHR2pUybJG4Mz15sN1wTPeYMoq3oEW3WQgmvzbUCt6hWMd9s16pjDhyvGQHqwGJfSqpgzGtX89oYvLV9BQiiRjMEt6vgiT3NTZg9Tvk7GEXyw5dcJSpm2JKRRqxXQ2uXko7hjExtQbUzPVudPBRyf4M7dGBjBxA4hyebjientendXnBMF982UqwXEah8KKExWiE951SX2mYgNx5sd1CikyV8xZa3yi5tmiSd6FpzSu3xsvhDLpEVBCfoAA6JsoKug73Lo72QAMXs7uBRwBQ8SZMozetmhp9u4zZET6r87nWJ3aPCt4JHhnkN48CvsU55C5mgJJhZJhZpC9vHPHk5YASNxN9zkvit4CVp3Dnp7JQFnbgrkapnvfxBaLUhAZX7WL2gmkRzPZo11dw9Xh56PhRn5dX1y4dF3GgnQvteSyNVfaBrH3hcmRwHuCvcW8yaFpGF2n29RnPJ6WsL2ep4kb2YCkW65CuBxDJKTyPr4UEi5uHZi6zNK7fz8tdMoTHs95kMiRLGiCDnWZKe15XudLakPCDdN7LScH9LmA1VTm1kLQzy8oB,100000,0.01
