,address,amount,percentOfTotal
397,9gq3uSe3ZQPb8jie71PY2C96cipEGXaua93z6miP46qNs8L7A6E,585.0,0.00014625
398,9iHPGefijEETkWVtZsbtzsbVaRHHY56hU6dVsrW71addWyYbzYe,582.49,0.0001456225
399,9fhwRu7ggDTwEfkDWsEWaGPrBdjXxwt7qqAkArVQKqMDZGeo6J8,576.15,0.0001440375
400,9hGmCkUam483f8Ddx18FcAF6XPXq543dmsEBRwTTusC4H3euuKH,553.09,0.0001382725
401,9gDekeor1mkhaRTL2rmoTDdAxUnzZ2pvWq8fNKawW5yeHKuQefa,549.99,0.0001374975
402,9ghUqgLWDqAYE11xpJuVDX7NLx3cv2cdZNQ8YNYjZ4FrrQsZQ9M,544.83,0.0001362075
403,9fN25mbqMwuaK2JqDssjotQW6RHKHEK67hZmp94YQmgXY5UCh5K,515.67,0.0001289175
404,9fYkTcfHM8fuAdrfeA5F5Aa69BcPqbFccA5Yir3g3yXfiemkZtL,510.11,0.0001275275
405,9giEaa3RjhEc28rRqw3pz65VDRTRTfLw1gu5yiqKE8ZkBN9Kw3m,500.0,0.000125
406,9gr4AYijG9dithAAb2QT22FYv9nQi6GMZyTTQL2ENHSzrG1TfLn,497.68,0.00012442
407,9g9nT2aa7NigUgDYG1ekYk3V7Lu77aQSTqpWHVrPBdVSSzAMGrY,487.86,0.000121965
408,9fKvgEdCPF7Xm9RMkA842sb8c7xuQVrFh81PFqY3zFndkfoaKky,449.84000000000003,0.00011246
409,9eoebNfAo4TM1dj1gGRxSGLmGLpZJmZN8Cpm3H1Fe6fiJdjEKd6,442.59000000000003,0.0001106475
410,9hBjMTXMLPgbvFS2rGCGSZkuEc4zn6KSCzPxshMcuzKhoXM2ms8,421.0,0.00010525
411,9hrCZ9FFC3vB1m7AuPkxNnh42Lm5ReF3KvoXQpErmyNzq6Mvryg,418.85,0.0001047125
412,9fs5ZqB1pXe8vufUn7Xg2eb9jUy9anF7snW8zWvn3U7A9qfcfyg,416.66,0.000104165
413,9fHYrR2qptHF3ADAfvpLPNmebjXiLje549h4SQb2jzctNtyGdsC,415.87,0.0001039675
414,9iFmAVduZWpWTg3nL49XLSiPiVswsK2vTCeT6MqE45dV1bmVW6Q,411.41,0.0001028525
415,9emN9F2hoKvbd5oDDV55BnTrMU1TPuHsZguhVFthoEmCg4uTrS3,408.5,0.000102125
416,9epk7jYQfXqtxpwQyBkYgTcRczvHZweHkkesVwhEZZ1JpmpaY5p,403.56,0.00010089
417,9gUoSFYMMZqxdzyuaG7SbTVb76h7dzwRRzDZJ1wpLgALquoQMQv,391.66,9.7915e-05
418,9gNtCRxiv2QwscNzakadzLsurdhkLLmhFjrGEpC6maTN3z7j3hC,379.33,9.48325e-05
419,9hM55TnDA9P7j9GqHQwGCfotPi6fqfytT5XSrRnMvLbqbxSxFN5,377.66,9.4415e-05
420,9hy5N7teqySHMi36KQiwi3XnJGa8iatcFpo8Y435Ajn1u1R8NBH,377.05,9.42625e-05
421,9ff3GvyDcswQnV6dfZnvJ8XJwyg1dqYngJKqoL1fVK74v8pD9Vi,374.68,9.367e-05
422,9hMGkA1Agcr7QreoU24qiGCJX8tLkvoK71D7bcPbdYufEqYH6tZ,369.79,9.24475e-05
423,9gJtZu9v7wA5SThfiFE26VUYWDadz4owpaMFcqncNEUtLdtagg7,354.66,8.8665e-05
424,9fe7jdkMyeZY5kaXh141F67b5Fmrdk38YeNnTJzo2WRVPBRKmEW,347.0,8.675e-05
425,9faNiTaDhQBX9kKFVq3vrpg3SGLGfHmMTK24qJyT1DCB74f7Vx7,342.47,8.56175e-05
426,9g9TxLDb3taBahuBFZS7jD12NbcC7vYE9b8HQjWZW2kNL7GxPWa,342.03000000000003,8.55075e-05
427,9eYR6HZmwMYF3iSaKHDvWGzd2BmB5868N2mdeLRKVhXTwGVVoHH,340.28000000000003,8.507e-05
428,9ggRXj4spfFuq2xJ6iLgkbkdmT4feazd5dV8bpu9fExtwRHNG1G,339.25,8.48125e-05
429,9fnF9YY4jtHfHc7C4wLa3o54N6m9ZS9bXdpi2B65kuagNXXWkAe,333.33,8.33325e-05
430,9fLScgswoek5kEE2ukPaWGoBaToRsdgmqqfij2Xj6ejrMpwHrQS,314.65000000000003,7.86625e-05
431,9f5vwtxyRP87wmc8ezyKbL7ryaNhDrgWUVBEZpQKnw16SWceKR9,306.66,7.6665e-05
432,9hLptvTu46iLaZzkcBcvPCrbfW7r6itEk4uFTHhwNfjQqS9rCY8,303.51,7.58775e-05
433,9hjxyrYaKtBu1TA31BMaXFiWDXVeMr5XLDWHPYnaJJQBNscTEYq,297.65000000000003,7.44125e-05
